Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_153_909,VPWR,li1,423.8900,427.0400,1.800000
FILLER_153_897,VPWR,li1,420.9000,427.0400,1.800000
FILLER_153_893,VPWR,li1,416.9900,427.0400,1.800000
FILLER_153_881,VPWR,li1,413.5400,427.0400,1.800000
FILLER_153_869,VPWR,li1,408.0200,427.0400,1.800000
FILLER_153_865,VPWR,li1,404.1100,427.0400,1.800000
FILLER_153_853,VPWR,li1,400.6600,427.0400,1.800000
FILLER_153_841,VPWR,li1,395.1400,427.0400,1.800000
FILLER_153_837,VPWR,li1,391.2300,427.0400,1.800000
FILLER_153_825,VPWR,li1,387.7800,427.0400,1.800000
FILLER_153_813,VPWR,li1,382.2600,427.0400,1.800000
FILLER_153_809,VPWR,li1,378.3500,427.0400,1.800000
FILLER_153_797,VPWR,li1,374.9000,427.0400,1.800000
FILLER_153_785,VPWR,li1,369.3800,427.0400,1.800000
FILLER_153_781,VPWR,li1,365.4700,427.0400,1.800000
FILLER_153_769,VPWR,li1,362.0200,427.0400,1.800000
FILLER_153_757,VPWR,li1,356.5000,427.0400,1.800000
FILLER_153_753,VPWR,li1,352.5900,427.0400,1.800000
FILLER_153_741,VPWR,li1,349.1400,427.0400,1.800000
FILLER_153_729,VPWR,li1,343.6200,427.0400,1.800000
FILLER_153_725,VPWR,li1,339.7100,427.0400,1.800000
FILLER_153_713,VPWR,li1,336.2600,427.0400,1.800000
FILLER_153_701,VPWR,li1,330.7400,427.0400,1.800000
FILLER_153_697,VPWR,li1,326.8300,427.0400,1.800000
FILLER_153_685,VPWR,li1,323.3800,427.0400,1.800000
FILLER_153_673,VPWR,li1,317.8600,427.0400,1.800000
FILLER_153_669,VPWR,li1,313.9500,427.0400,1.800000
FILLER_153_657,VPWR,li1,310.5000,427.0400,1.800000
FILLER_153_645,VPWR,li1,304.9800,427.0400,1.800000
FILLER_153_641,VPWR,li1,301.0700,427.0400,1.800000
FILLER_153_629,VPWR,li1,297.6200,427.0400,1.800000
FILLER_153_617,VPWR,li1,292.1000,427.0400,1.800000
FILLER_153_613,VPWR,li1,288.1900,427.0400,1.800000
FILLER_153_601,VPWR,li1,284.7400,427.0400,1.800000
FILLER_153_589,VPWR,li1,279.2200,427.0400,1.800000
FILLER_153_587,VPWR,li1,275.7700,427.0400,1.800000
FILLER_153_583,VPWR,li1,274.6200,427.0400,1.800000
FILLER_153_557,VPWR,li1,261.9700,427.0400,1.800000
FILLER_153_545,VPWR,li1,258.9800,427.0400,1.800000
FILLER_153_533,VPWR,li1,253.4600,427.0400,1.800000
FILLER_153_529,VPWR,li1,249.5500,427.0400,1.800000
FILLER_153_517,VPWR,li1,246.1000,427.0400,1.800000
FILLER_153_505,VPWR,li1,240.5800,427.0400,1.800000
FILLER_153_501,VPWR,li1,236.6700,427.0400,1.800000
FILLER_153_489,VPWR,li1,233.2200,427.0400,1.800000
FILLER_153_477,VPWR,li1,227.7000,427.0400,1.800000
FILLER_153_473,VPWR,li1,223.7900,427.0400,1.800000
FILLER_153_461,VPWR,li1,220.3400,427.0400,1.800000
FILLER_153_449,VPWR,li1,214.8200,427.0400,1.800000
FILLER_153_445,VPWR,li1,210.9100,427.0400,1.800000
FILLER_153_433,VPWR,li1,207.4600,427.0400,1.800000
FILLER_153_421,VPWR,li1,201.9400,427.0400,1.800000
FILLER_153_417,VPWR,li1,198.0300,427.0400,1.800000
FILLER_153_405,VPWR,li1,194.5800,427.0400,1.800000
FILLER_153_393,VPWR,li1,189.0600,427.0400,1.800000
FILLER_153_389,VPWR,li1,185.1500,427.0400,1.800000
FILLER_153_377,VPWR,li1,181.7000,427.0400,1.800000
FILLER_153_365,VPWR,li1,176.1800,427.0400,1.800000
FILLER_153_361,VPWR,li1,172.2700,427.0400,1.800000
FILLER_153_349,VPWR,li1,168.8200,427.0400,1.800000
FILLER_153_337,VPWR,li1,163.3000,427.0400,1.800000
FILLER_153_333,VPWR,li1,159.3900,427.0400,1.800000
FILLER_153_321,VPWR,li1,155.9400,427.0400,1.800000
FILLER_153_309,VPWR,li1,150.4200,427.0400,1.800000
FILLER_153_305,VPWR,li1,146.5100,427.0400,1.800000
FILLER_153_293,VPWR,li1,143.0600,427.0400,1.800000
FILLER_153_281,VPWR,li1,137.5400,427.0400,1.800000
FILLER_153_277,VPWR,li1,133.6300,427.0400,1.800000
FILLER_153_265,VPWR,li1,130.1800,427.0400,1.800000
FILLER_153_253,VPWR,li1,124.6600,427.0400,1.800000
FILLER_153_249,VPWR,li1,120.7500,427.0400,1.800000
FILLER_153_237,VPWR,li1,117.3000,427.0400,1.800000
FILLER_153_225,VPWR,li1,111.7800,427.0400,1.800000
FILLER_153_221,VPWR,li1,107.8700,427.0400,1.800000
FILLER_153_209,VPWR,li1,104.4200,427.0400,1.800000
FILLER_153_197,VPWR,li1,98.9000,427.0400,1.800000
FILLER_153_193,VPWR,li1,94.9900,427.0400,1.800000
FILLER_153_181,VPWR,li1,91.5400,427.0400,1.800000
FILLER_153_169,VPWR,li1,86.0200,427.0400,1.800000
FILLER_153_165,VPWR,li1,82.1100,427.0400,1.800000
FILLER_153_153,VPWR,li1,78.6600,427.0400,1.800000
FILLER_153_141,VPWR,li1,73.1400,427.0400,1.800000
FILLER_153_137,VPWR,li1,69.2300,427.0400,1.800000
FILLER_153_125,VPWR,li1,65.7800,427.0400,1.800000
FILLER_153_113,VPWR,li1,60.2600,427.0400,1.800000
FILLER_153_109,VPWR,li1,56.3500,427.0400,1.800000
FILLER_153_97,VPWR,li1,52.9000,427.0400,1.800000
FILLER_153_85,VPWR,li1,47.3800,427.0400,1.800000
FILLER_153_81,VPWR,li1,43.4700,427.0400,1.800000
FILLER_153_69,VPWR,li1,40.0200,427.0400,1.800000
FILLER_153_57,VPWR,li1,34.5000,427.0400,1.800000
FILLER_153_53,VPWR,li1,30.5900,427.0400,1.800000
FILLER_153_41,VPWR,li1,27.1400,427.0400,1.800000
FILLER_153_29,VPWR,li1,21.6200,427.0400,1.800000
FILLER_153_27,VPWR,li1,18.1700,427.0400,1.800000
FILLER_153_15,VPWR,li1,15.1800,427.0400,1.800000
FILLER_153_3,VPWR,li1,9.6600,427.0400,1.800000
FILLER_152_909,VPWR,li1,423.8900,427.0400,1.800000
FILLER_152_905,VPWR,li1,422.7400,427.0400,1.800000
FILLER_152_893,VPWR,li1,419.0600,427.0400,1.800000
FILLER_152_881,VPWR,li1,413.5400,427.0400,1.800000
FILLER_152_869,VPWR,li1,408.0200,427.0400,1.800000
FILLER_152_867,VPWR,li1,404.5700,427.0400,1.800000
FILLER_152_861,VPWR,li1,402.9600,427.0400,1.800000
FILLER_152_849,VPWR,li1,398.8200,427.0400,1.800000
FILLER_152_837,VPWR,li1,393.3000,427.0400,1.800000
FILLER_152_825,VPWR,li1,387.7800,427.0400,1.800000
FILLER_152_813,VPWR,li1,382.2600,427.0400,1.800000
FILLER_152_811,VPWR,li1,378.8100,427.0400,1.800000
FILLER_152_805,VPWR,li1,377.2000,427.0400,1.800000
FILLER_152_793,VPWR,li1,373.0600,427.0400,1.800000
FILLER_152_781,VPWR,li1,367.5400,427.0400,1.800000
FILLER_152_769,VPWR,li1,362.0200,427.0400,1.800000
FILLER_152_757,VPWR,li1,356.5000,427.0400,1.800000
FILLER_152_755,VPWR,li1,353.0500,427.0400,1.800000
FILLER_152_749,VPWR,li1,351.4400,427.0400,1.800000
FILLER_152_737,VPWR,li1,347.3000,427.0400,1.800000
FILLER_152_725,VPWR,li1,341.7800,427.0400,1.800000
FILLER_152_713,VPWR,li1,336.2600,427.0400,1.800000
